DQAID,WID,TSN,T7_1,T7_2,T7_3,T7_4,T7_5,T7_6,T7_7,T7_8,T7_9,T7_10,T7_11,LAST SYNC DATE
3418440386,10077422,1,3,1,1,5,1,6,3,30,2,1,2,12/12/2018,
3418440386,10077422,2,5,1,1,11,1,6,3,30,2,1,2,12/12/2018,
3218340635,10082243,1,6,1,1,1,2,1,1,4,2,2,2,13/04/2019,
3418702052,10077769,1,3,1,1,9,1,6,1,2,2,1,1,25/12/2018,
3218884276,10082407,1,5,1,1,3,1,1,3,24,2,2,2,16/04/2019,
3418860182,10079046,1,3,1,1,10,1,4,1,4,2,1,1,16/01/2019,
3418122845,10079006,1,5,1,1,9,1,3,3,24,2,1,2,21/01/2019,
3418122845,10079006,2,6,1,1,6,1,1,3,24,2,2,2,21/01/2019,
3418385575,10078752,1,2,1,1,12,1,4,3,24,2,1,1,15/01/2019,
3418385575,10078752,2,2,1,1,12,1,4,3,24,2,1,1,15/01/2019,
3418499001,10078809,1,2,1,1,12,1,4,1,4,2,1,1,01/03/2019,
3418729375,10078748,1,3,1,1,11,1,6,1,4,2,1,1,22/03/2019,
3418749638,10078722,1,4,1,1,10,1,6,1,4,2,1,1,25/03/2019,
3418702830,10079050,2,4,1,1,9,1,6,1,4,2,1,1,22/03/2019,
3418684211,10078753,1,3,1,1,11,1,6,1,4,2,1,1,25/03/2019,
3418684211,10078753,2,4,1,1,11,1,6,1,4,2,1,1,25/03/2019,
3317041572,10071177,1,6,1,1,5,2,1,1,2,1,1,2,08/04/2019,
3418000470,10078720,3,3,1,1,10,1,6,1,4,2,1,1,14/01/2019,
3218944808,10081836,1,2,1,1,9,2,2,1,5,2,1,2,02/04/2019,
3418385575,10078752,3,2,1,1,2,1,1,3,24,,1,1,04/03/2019,
3418202628,10078922,1,4,1,1,9,1,6,1,4,2,1,1,26/03/2019,
3317479470,10072451,1,3,1,1,11,1,6,1,2,2,1,1,15/04/2019,
3317774692,10076244,1,5,1,1,4,1,1,3,11,2,2,2,04/01/2019,
3317513597,10080757,1,2,1,1,9,1,1,3,8,2,1,1,27/02/2019,
3317773509,10076674,1,6,1,1,5,2,1,3,13,2,2,2,04/01/2019,
3317597804,10071743,1,5,1,1,4,2,1,3,11,2,2,2,13/04/2019,
3317388680,10076234,1,4,1,1,4,2,1,1,5,2,2,2,24/12/2018,
3317422398,10071842,1,3,1,1,11,1,6,3,8,2,1,1,04/01/2019,
3317994578,10071079,1,4,1,1,4,2,1,3,14,2,2,2,19/09/2018,
3317027039,10071927,1,2,1,1,9,1,6,3,13,2,1,1,04/01/2019,
3317313331,10076699,1,4,1,1,9,1,6,3,8,2,1,1,04/01/2019,
3317520864,10076590,1,6,1,1,5,1,2,3,8,2,1,1,04/01/2019,
3317328876,10076530,1,6,1,1,5,1,1,3,8,2,1,1,04/01/2019,
3317573248,10076574,1,6,1,1,5,1,6,1,5,2,1,1,21/01/2019,
3317813089,10076690,1,6,1,1,4,1,2,3,8,2,1,1,04/01/2019,
